Darija_Arabe,Arabizi,Arabe_Standard,Anglais
درّي صغير,deri sghir,طفل,child,
درّي صغير,dari sghir,طفل,child,
برهوش,berhouch,طفل,child,
برهوش,barhouch,طفل,child,
برهوش,ber8ouch,طفل,child,
برهوش,bar8ouch,طفل,child,
تحكم,ta7akkom,تحكم,control,
تحكم,ta7akom,تحكم,control,
تحكم,tahakkom,تحكم,control,
تحكم,tahakom,تحكم,control,
منضر,mender,منظر,view,
منضر,mander,منظر,view,
منضر,mnder,منظر,view,
منضر,mndr,منظر,view,
منضر,mendar,منظر,view,
منضر,mndar,منظر,view,
سطر,str,سطر,line,
سطر,satr,سطر,line,
مجتمع,mojtama3,مجتمع,community,
جنوب,janoub,جنوب,south,
جنوب,janob,جنوب,south,
مدينة,mdina,مدينة,city,
الله,allah,الله,god,
إلاه,ilah,إلاه,god,
رب,reb,رب,god,
رب,rab,رب,god,
رب,rb,رب,god,
أب,ab,أب,father,
أب,2ab,أب,father,
والد,walid,والد,father,
مركز,merkez,مركز,centre,
مركز,markez,مركز,centre,
مركز,mrkz,مركز,centre,
مركز,merkz,مركز,centre,
لخدّامة,lkheddama,طاقم,staff,
لخدّامة,lkhedama,طاقم,staff,
لخدّامة,l5eddama,طاقم,staff,
لخدّامة,l5edama,طاقم,staff,
نوع,nou3,نوع,kind,
نوع,naw3,نوع,kind,
حركة,haraka,حركة,action,
حركة,7araka,حركة,action,
إدارة,idara,إدارة,management,
تسيير,tasyir,تسيير,management,
تسيير,tassyir,تسيير,management,
فعلة,f3la,فعل,act,
فعلة,fe3la,فعل,act,
فعلة,fi3l,فعل,act,
عملية,3amalia,عملية,process,
عملية,3amaliya,عملية,process,
عملية,3amalya,عملية,process,
شمال,chamal,شمال,north,
دليل,dalil,دليل,evidence,
فكرة,fikra,فكرة,idea,
غرب,gharb,غرب,west,
غرب,ghrb,غرب,west,
غرب,gherb,غرب,west,
دعم,da3m,دعم,support,
لحظة,la7da,لحظة,moment,
لحظة,l7da,لحظة,moment,
لحظة,lahda,لحظة,moment,
لحظة,lhda,لحظة,moment,
تقرير,t9rir,تقرير,report,
تقرير,ta9rir,تقرير,report,
تقرير,tqrir,تقرير,report,
تقرير,taqrir,تقرير,report,
عقل,39el,عقل,mind,
عقل,39al,عقل,mind,
عقل,39l,عقل,mind,
عقل,3qel,عقل,mind,
عقل,3qal,عقل,mind,
عقل,3ql,عقل,mind,
كنيسة,kanisa,كنيسة,church,
كنيسة,kanissa,كنيسة,church,
صباح,sba7,صباح,morning,
صباح,sbah,صباح,morning,
صناعة,sina3a,صناعة,industry,
أرض,2ard,أرض,land,
أرض,ard,أرض,land,
عناية,3inaya,عناية,care,
عناية,3inaia,عناية,care,
قرن,9arn,قرن,century,
قرن,9ern,قرن,century,
قرن,qarn,قرن,century,
قرن,qern,قرن,century,
لور,llour,رجوع,back,
لور,llor,رجوع,back,
لور,lour,رجوع,back,
لور,lor,رجوع,back,
تبادل,tabadol,تبادل,trade,
تبدال,tbdal,تبادل,trade,
تبدال,tabdal,تبادل,trade,
تاريخ,tarikh,تاريخ,history,
تاريخ,tari5,تاريخ,history,
قرايا,9raya,دراسة,study,
قرايا,qraya,دراسة,study,
زنقة,zen9a,شارع,street,
زنقة,zn9a,زنقة,street,
زنقة,zan9a,شارع,street,
زنقة,zenqa,شارع,street,
زنقة,znqa,زنقة,street,
زنقة,zanqa,شارع,street,
نقطة,no9ta,نقطة,rate,
نقطة,n9ta,نقطة,rate,
نقطة,noqta,نقطة,rate,
نقطة,nqta,نقطة,rate,
كلمة,kelma,كلمة,word,
كلمة,kalma,كلمة,word,
كلمة,klma,كلمة,word,
ماكلة,makla,ماكلة,food,
نتيجة,natija,نتيجة,result,
أخور,akhor,أخر,other,
أخور,a5or,أخر,other,
أخر,akher,أخر,other,
أخر,a5er,أخر,other,
سي,ssi,سيد,sir,
سي,si,سيد,sir,
سلطة,solta,سلطة,authority,
دور,dawr,دور,role,
دور,dour,دور,role,
سبب,sabab,سبب,reason,
تمن,taman,تمن,price,
مدينة,mdina,مدينة,town,
قسم,9ism,قسم,class,
قسم,qism,قسم,class,
كلاس,classe,قسم,class,
طبيعة,Tabi3a,طبيعة,nature,
موضوع,mawdo3,موضوع,subject,
قسم,9ism,قسم,department,
اتحاد,itti7ad,اتحاد,union,
اتحاد,iti7ad,اتحاد,union,
اتحاد,ittihad,اتحاد,union,
اتحاد,itihad,اتحاد,union,
بنكة,banka,بنك,bank,
عضو,3odw,عضو,member,
إحتياج,i7tiyaj,إحتياج,need,
إحتياج,ihtiyaj,إحتياج,need,
شرق,cher9,شرق,east,
شرق,char9,شرق,east,
شرق,chr9,شرق,east,
شرق,cherq,شرق,east,
شرق,charq,شرق,east,
شرق,chrq,شرق,east,
تدريب,tdrib,تدريب,practice,
تدريب,tadrib,تدريب,practice,
ورقة,wer9a,ورقة,paper,
ورقة,wr9a,ورقة,paper,
ورقة,war9a,ورقة,paper,
ورقة,werqa,ورقة,paper,
ورقة,wrqa,ورقة,paper,
ورقة,warqa,ورقة,paper,
كاغيط,kaghit,ورقة,paper,
كاغيط,kaghet,ورقة,paper,
كاغيط,kaght,ورقة,paper,
تمر,tmer,تمر,date,
تمر,tmar,تمر,date,
رونديفو,rendez vous,موعد,date,
شكل,chakl,شكل,figure,
رئيس,ra2is,رئيس,president,
رئيس,rais,رئيس,president,
رئيس,rayes,رئيس,president,
جامعة,jami3a,جامعة,university,
نادي,nadi,نادي,club,
جودة,jawda,جودة,quality,
جودة,jaouda,جودة,quality,
صوت,sot,صوت,voice,
صوت,sout,صوت,voice,
صوت,sawt,صوت,voice,
مولاي,moulay,سيد,lord,
مرحلة,mer7ala,مرحلة,stage,
مرحلة,mar7ala,مرحلة,stage,
مرحلة,mr7ala,مرحلة,stage,
مرحلة,merhala,مرحلة,stage,
مرحلة,marhala,مرحلة,stage,
مرحلة,mrhala,مرحلة,stage,
خشبة,khachaba,خشبة,stage,
خشبة,5achaba,خشبة,stage,
موقف,maw9if,موقف,situation,
موقف,mo9if,موقف,situation,
موقف,mawqif,موقف,situation,
موقف,moqif,موقف,situation,
ضريبة,dariba,ضريبة,tax,
إنتاج,intaj,إنتاج,production,
مسيرة,massira,مسيرة,march,
مسيرة,masira,مسيرة,march,
شهر تلاتة,chher tlata,مارس,march,
شهر تلاتة,ch8er tlata,مارس,march,
سكريتيرة,sekritira,سكريتيرة,secretary,
سكريتيرة,secritira,سكريتيرة,secretary,
فن,fen,فن,art,
فن,fan,فن,art,
فن,fn,فن,art,
فن,fnn,فن,art,
شهر خمسة,ch8er khmsa,ماي,may,
شهر خمسة,ch8er khamsa,ماي,may,
شهر خمسة,ch8er khemsa,ماي,may,
شهر خمسة,ch8er 5msa,ماي,may,
شهر خمسة,ch8er 5amsa,ماي,may,
شهر خمسة,ch8er 5emsa,ماي,may,
سبيطار,sbitar,مستشفى,hospital,
شهر,ch8er,شهر,month,
شهر,ch8ar,شهر,month,
شهر,ch8r,شهر,month,
شهر,chher,شهر,month,
شهر,chhar,شهر,month,
شهر,chhr,شهر,month,
موسيقا,mosi9a,موسيقى,music,
موسيقا,mossi9a,موسيقى,music,
موسيقا,mosiqa,موسيقى,music,
موسيقا,mossiqa,موسيقى,music,
ثمن,taman,ثمن,cost,
أرض فلاحية,2ard fila7ia,أرض فلاحية,field,
أرض فلاحية,ard filahia,أرض فلاحية,field,
تيران,tiran,أرض فلاحية,field,
جائزة,ja2iza,جائزة,award,
جائزة,jaiza,جائزة,award,
موشكيل,mochkil,موشكيل,issue,
مسألة,ms2ala,مسألة,issue,
مسألة,mas2ala,مسألة,issue,
مشروع,mchro3,مشروع,project,
مشروع,mechro3,مشروع,project,
مشروع,machro3,مشروع,project,
مشروع,mchrou3,مشروع,project,
مشروع,mechrou3,مشروع,project,
مشروع,machrou3,مشروع,project,
فصل,fasl,فصل,chapter,
لعبة,lo3ba,لعبة,game,
لعبة,l3ba,لعبة,game,
لعبة,le3ba,لعبة,game,
كمية,kimmiya,كمية,amount,
كمية,kimmia,كمية,amount,
كمية,kimiya,كمية,amount,
كمية,kimia,كمية,amount,
أساس,2asas,أساس,basis,
أساس,asas,أساس,basis,
أساس,2assas,أساس,basis,
أساس,assas,أساس,basis,
معرفة,ma3rifa,معرفة,knowledge,
معرفة,m3rifa,معرفة,knowledge,
مقاربة,mo9araba,مقاربة,approach,
مقاربة,moqaraba,مقاربة,approach,
مسلسل,moselsal,مسلسل,series,
مسلسل,mosalsal,مسلسل,series,
مسلسل,moslsal,مسلسل,series,
حب,7ob,حب,love,
حب,hob,حب,love,
لفوق,lfo9,فوق,top,
لفوق,lfoq,فوق,top,
أخبار,akhbar,أخبار,news,
أخبار,a5bar,أخبار,news,
ڭدّام,goddam,أمام,front,
ڭدّام,9oddam,أمام,front,
ڭدّام,godam,أمام,front,
ڭدّام,9odam,أمام,front,
مستقبل,mosta9bal,مستقبل,future,
مستقبل,most9bal,مستقبل,future,
مستقبل,mostaqbal,مستقبل,future,
مستقبل,mostqbal,مستقبل,future,
مدير,modir,مدير,manager,
حساب,7isab,حساب,account,
حساب,7sab,حساب,account,
حساب,hisab,حساب,account,
حساب,hsab,حساب,account,
بيسي,pc,حاسوب,computer,
أُرديناتور,ordinateur,حاسوب,computer,
راحة,ra7a,راحة,rest,
راحة,raha,راحة,rest,
خدمة,khedma,عمل,labour,
خدمة,khdma,عمل,labour,
خدمة,5edma,عمل,labour,
خدمة,5dma,عمل,labour,
شقا,ch9a,عمل,labour,
شقا,chqa,عمل,labour,
بناية,binaya,بناية,structure,
شعر,ch3er,شعر,hair,
شعر,ch3ar,شعر,hair,
مشروع قانون,mchro3 9anon,مشروع قانون,bill,
مشروع قانون,mchrou3 9anoun,مشروع قانون,bill,
مشروع قانون,mchro3 9anoun,مشروع قانون,bill,
مشروع قانون,machro3 qanon,مشروع قانون,bill,
مشروع قانون,mechrou3 qanoun,مشروع قانون,bill,
مشروع قانون,mchro3 qanoun,مشروع قانون,bill,
فاكتورة,factoura,فاتورة,bill,
فاتورة,fatoura,فاتورة,bill,
قلب,9elb,قلب,heart,
قلب,9alb,قلب,heart,
قلب,qelb,قلب,heart,
قلب,qalb,قلب,heart,
صحة,se77a,قوة,force,
صحة,s77a,قوة,force,
صحة,sa77a,قوة,force,
صحة,se7a,قوة,force,
صحة,s7a,قوة,force,
صحة,sa7a,قوة,force,
صحة,sehha,قوة,force,
صحة,shha,قوة,force,
صحة,sahha,قوة,force,
صحة,seha,قوة,force,
صحة,sha,قوة,force,
صحة,saha,قوة,force,
عنداك,andak,حذاري,attention,
عنداك,3ndak,حذاري,attention,
عنداك,3endak,حذاري,attention,
رد لبال,rdd lbal,حذاري,attention,
رد لبال,redd lbal,حذاري,attention,
رد لبال,radd lbal,حذاري,attention,
نجاح,naja7,نجاح,success,
نجاح,najah,نجاح,success,
رسالة,risala,رسالة,letter,
رسالة,rissala,رسالة,letter,
إتّفاق,ittifa9,إتّفاق,agreement,
إتّفاق,itifa9,إتّفاق,agreement,
إتّفاق,itifaq,إتّفاق,agreement,
إتّفاق,ittifaq,إتّفاق,agreement,
عاصمة,3asima,عاصمة,capital,
عاصمة,3assima,عاصمة,capital,
عاصمة,assima,عاصمة,capital,
تحليل,t7lil,تحليل,analysis,
تحليل,ta7lil,تحليل,analysis,
تحليل,tahlil,تحليل,analysis,
صوكّان,sokkan,سكان,population,
سكان,sokan,سكان,population,
محيط,mohit,محيط,environment,
محيط,mo7it,محيط,environment,
أداء,2ada2,أداء,performance,
أداء,adaa,أداء,performance,
موديل,model,نموذج,model,
موديل,modil,نموذج,model,
ماتريال,materiel,مادة,material,
نظرية,nadaria,نظرية,theory,
نظرية,nadharia,نظرية,theory,
نمو,nomow,نمو,growth,
زهر,zher,حظ,chance,
زهر,zhar,حظ,chance,
زهر,z8er,حظ,chance,
زهر,z8ar,حظ,chance,
علاقة,3alaqa,علاقة,relationship,
علاقة,3ala9a,علاقة,relationship,
ولد,wld,ولد,son,
ولد,weld,ولد,son,
ولد,wald,ولد,son,
بحر,b7er,بحر,sea,
بحر,b7ar,بحر,sea,
بحر,b7r,بحر,sea,
بحر,bher,بحر,sea,
بحر,bhar,بحر,sea,
بحر,bhr,بحر,sea,
تسجيل,tsjil,تسجيل,record,
تسجيل,tasjil,تسجيل,record,
تسجيل,tesjil,تسجيل,record,
قياس,9yas,قياس,size,
قياس,9ias,قياس,size,
قياس,qyas,قياس,size,
قياس,qias,قياس,size,
ملك,mlk,ملكية,property,
ملك,melk,ملكية,property,
ملك,milk,ملكية,property,
فضاء,fada2,فضاء,space,
فضاء,fadaa,فضاء,space,
مساحة,missa7a,مساحة,space,
مساحة,misa7a,مساحة,space,
مساحة,missaha,مساحة,space,
مساحة,misaha,مساحة,space,
مصطلح,mostala7,مصطلح,term,
مصطلح,mostalah,مصطلح,term,
مدير,modir,مدير,director,
مدير,moudir,مدير,director,
تصرف,tasarrof,تصرف,behaviour,
تصرف,tasarrouf,تصرف,behaviour,
تصرف,tasarof,تصرف,behaviour,
تصرف,tasarouf,تصرف,behaviour,
تصرف,tassarrof,تصرف,behaviour,
تصرف,tassarrouf,تصرف,behaviour,
تصرف,tassarof,تصرف,behaviour,
تصرف,tassarouf,تصرف,behaviour,
علاج,3ilaj,علاج,treatment,
علاج,ilaj,علاج,treatment,
معاملة,mo3amala,معاملة,treatment,
طاقة,ta9a,طاقة,energy,
طاقة,taqa,طاقة,energy,
دخل,dakhl,دخل,income,
دخل,da5l,دخل,income,
كاس,kas,كأس,cup,
كاس,ka2s,كأس,cup,
مخطط,mokhtat,مخطط,scheme,
مخطط,mokhatat,مخطط,scheme,
مخطط,mo5tat,مخطط,scheme,
مخطط,mo5atat,مخطط,scheme,
ديزاين,design,تصميم,design,
جواب,jawab,جواب,response,
ضغط,daght,ضغط,pressure,
ضغط,dght,ضغط,pressure,
صالة,sala,صالة,hall,
كوپل,couple,زوج,couple,
تيكنولوجيا,tiknologia,تيكنولوجيا,technology,
دفاع,difa3,دفاع,defence,
لائحة,la2i7a,لائحة,list,
لائحة,la2iha,لائحة,list,
لائحة,lai7a,لائحة,list,
لائحة,layha,لائحة,list,
ليست,liste,لائحة,list,
كونطرا,contra,عقد,contract,
عقد,3a9d,عقد,contract,
عقد,3aqd,عقد,contract,
مقاطعة,mo9ata3a,مقاطعة,county,
مقاطعة,moqata3a,مقاطعة,county,
فرق,fer9,فرق,difference,فرق
فرق,ferq,فرق,difference,
فرق,far9,فرق,difference,
فرق,farq,فرق,difference,
فرق,fr9,فرق,difference,
فرق,frq,فرق,difference,
أوطيل,2otil,أوطيل,hotel,
أوطيل,otil,أوطيل,hotel,
شمس,chamch,شمس,sun,
شمس,chams,شمس,sun,
شمس,chmch,شمس,sun,
شمس,chms,شمس,sun,
پرودوي,produit,منتوج,product,
منتوج,mntouj,منتوج,product,
منتوج,mantouj,منتوج,product,
منتوج,mantoj,منتوج,product,
الصيف,ssif,الصيف,summer,
الصيف,sif,الصيف,summer,
لون,loun,لون,colour,
فصل,fasl,فصل,season,
وحدة,w7da,وحدة,unit,
وحدة,wa7da,وحدة,unit,
وحدة,whda,وحدة,unit,
وحدة,wahda,وحدة,unit,
جردة,jerda,منتزه,park,
جردة,jrda,منتزه,park,
بارك,park,منتزه,park,
ساعة,sa3a,ساعة,hour,
استثمار,stitmar,استثمار,investment,
استثمار,stithmar,استثمار,investment,
ختيبار,khtibar,اختبار,test,
ختيبار,5tibar,اختبار,test,
راجل,rajl,رجل,husband,
خدمة,khdma,توظيف,employment,
خدمة,5dma,توظيف,employment,
خدمة,khadma,توظيف,employment,
خدمة,5adma,توظيف,employment,
ستيل,style,أسلوب,style,
أسلوب,2osloub,أسلوب,style,
أسلوب,oslob,أسلوب,style,
علم,3ilm,علم,science,
شوفة,choufa,شوفة,look,
مضهر,medher,مظهر,look,
مضهر,mdher,مظهر,look,
مضهر,madher,مظهر,look,
مضهر,mdhr,مظهر,look,
صفقة,sf9a,صفقة,deal,
صفقة,saf9a,صفقة,deal,
صفقة,sef9a,صفقة,deal,
صفقة,sfqa,صفقة,deal,
صفقة,safqa,صفقة,deal,
صفقة,sefqa,صفقة,deal,
شحنة,cho7na,شحنة,charge,شحنة
شحنة,chohna,شحنة,charge,
مساعدة,mosa3ada,مساعدة,help,
قتصاد,9tisad,اقتصاد,economy,
قتصاد,9tissad,اقتصاد,economy,
قتصاد,qtisad,اقتصاد,economy,
قتصاد,qtissad,اقتصاد,economy,
جديد,jdid,جديد,new,
جديد,jadid,جديد,new,
صفحة,sf7a,صفحة,page,
صفحة,saf7a,صفحة,page,
صفحة,sef7a,صفحة,page,
صفحة,sfha,صفحة,page,
صفحة,safha,صفحة,page,
صفحة,sefha,صفحة,page,
خطر,khatar,خطر,risk,
خطر,5atar,خطر,risk,
حدت,7adath,حدث,event,
حدت,hadath,حدث,event,
تصويرة,tswira,صورة,picture,
تصويرة,taswira,صورة,picture,
كوميسيون,commission,لجنة,commission,
جعبة,je3ba,أنبوب,tube,
جعبة,j3ba,أنبوب,tube,
جعبة,ja3ba,أنبوب,tube,
حوتة,7outa,حوت,fish,
حوتة,houta,حوت,fish,
كلّية,kollia,كلّية,college,
كلّية,kolia,كلّية,college,
زيت,zit,زيت,oil,
طبيب,tbib,طبيب,doctor,
فرصة,forsa,فرصة,opportunity,
فرصة,forsa,فرصة,occasion,
فرصة,forsa,فرصة,chance,
فرصة,forssa,فرصة,opportunity,
فرصة,forssa,فرصة,occasion,
فرصة,forssa,فرصة,chance,
فيلم,film,فيلم,film,
محاضرة,mo7adara,محاضرة,conference,محاضرة
محاضرة,mohadara,محاضرة,conference,
أپّليكاسيون,application,تطبيق,application,
تطبيق,tatbi9,تطبيق,application,
تطبيق,tatbiq,تطبيق,application,
صحافة,sa7afa,صحافة,press,
صحافة,sahafa,صحافة,press,
جمع,jem3,جمع,addition,
جمع,jam3,جمع,addition,
جمع,jm3,جمع,addition,
ستاسيون,station,محطة,station,
محل,ma7al,محل,shop,
محل,mahal,محل,shop,
منطقة,mnta9a,منطقة,region,
منطقة,minta9a,منطقة,region,
منطقة,mntaqa,منطقة,region,
منطقة,mintaqa,منطقة,region,
شك,chek,شك,doubt,
شك,chk,شك,doubt,
أغلبية,aghlabia,أغلبية,majority,
درجة,daraja,درجة,degree,
دم,dem,دم,blood,
دم,dam,دم,blood,
دم,dmm,دم,blood,
دم,dm,دم,blood,
صوت,sot,صوت,sound,
صوت,sout,صوت,sound,
موقع,maw9i3,موقع,site,
موقع,mawqi3,موقع,site,
أهمية,ahammia,أهمية,importance,
أهمية,ahamia,أهمية,importance,
أهمية,a8ammia,أهمية,importance,
أهمية,a8amia,أهمية,importance,
عنوان,3onwan,عنوان,title,
لقب,la9ab,لقب,title,
لقب,laqab,لقب,title,
فصيلة,fasila,فصيلة,species,
فصيلة,fassila,فصيلة,species,
زيادة,zyada,زيادة,increase,
زيادة,ziyada,زيادة,increase,
إهتمام,ihtimam,إهتمام,concern,
إهتمام,i8timam,إهتمام,concern,
مسابقة,mosaba9a,مسابقة,competition,
مسابقة,mossaba9a,مسابقة,competition,
مسابقة,mosabaqa,مسابقة,competition,
مسابقة,mossabaqa,مسابقة,competition,
برنامج,bernamaj,برنامج,software,
برنامج,barnamaj,برنامج,software,
سيدة,siyda,سيدة,lady,
جواب,jawab,جواب,answer,
أرض,2ard,أرض,earth,
أرض,ard,أرض,earth,
بنت,bent,بنت,daughter,
هدف,hadaf,هدف,purpose,
هدف,8adaf,هدف,purpose,
مسؤولية,ms2oulia,مسؤولية,responsibility,
مسؤولية,masoolia,مسؤولية,responsibility,
مسؤولية,mas2oulia,مسؤولية,responsibility,
مسؤولية,ms2ouliya,مسؤولية,responsibility,
مسؤولية,mas2ouliya,مسؤولية,responsibility,
رئيس,ra2is,رئيس,leader,
رايس,rays,رئيس,leader,
رايس,rayes,رئيس,leader,
رايس,rais,رئيس,leader,
واد,wad,واد,river,
واد,ouad,واد,river,
عين,3in,عين,eye,
عين,3ayn,عين,eye,
قدرة,9odra,قدرة,ability,
قدرة,qodra,قدرة,ability,
جادبية,jadibia,جادبية,gravity,
جادبية,jadibia,جاذبية,attractability,
معارضة,mo3arada,معارضة,opposition,
معارضة,moarada,معارضة,opposition,
حملة,7amla,حملة,campaign,
حملة,7emla,حملة,campaign,
حملة,7mla,حملة,campaign,
حملة,hamla,حملة,campaign,
حملة,hemla,حملة,campaign,
حملة,hmla,حملة,campaign,
حترام,7tiram,حترام,respect,
مهمة,mohimma,مهمة,task,
مهمة,mohima,مهمة,task,
مهمة,mo8imma,مهمة,task,
مهمة,mo8ima,مهمة,task,
صولد,solde,صولد,sale,
تخفيض,tkhfid,تخفيض,sale,
تخفيض,takhfid,تخفيض,sale,
تخفيض,t5fid,تخفيض,sale,
تخفيض,ta5fid,تخفيض,sale,
كامل,kaml,كامل,whole,
ضابط,DabiT,ضابط,officer,
قسم,9ism,قسمة,division,
بياسة,biasa,قطعة,piece,
بياسة,piasa,قطعة,piece,
بياسة,biassa,قطعة,piece,
بياسة,piassa,قطعة,piece,
ناقص,na9S,ناقص,lack,
مرض,marad,مرض,disease,
مرض,mard,مرض,disease,
مرض,mrd,مرض,disease,
ماترييل,materiel,معدات,equipment,
مساحة,misa7a,مساحة,surface,
مساحة,misaha,مساحة,surface,
مساحة,missa7a,مساحة,surface,
مساحة,missa7a,مساحة,surface,
أكسفورد,oxford,أكسفورد,oxford,
طلب,talab,طلب,demand,
بوصطة,bosta,مركز بريد,post,
فم,fom,فم,mouth,
فم,fmm,فم,mouth,
فم,fm,فم,mouth,
راديو,radio,راديو,radio,
محاولة,mo7awala,محاولة,attempt,
محاولة,mohawala,محاولة,attempt,
قطاع,9ita3,قطاع,sector,
قطاع,qitaa,قطاع,sector,
شركة,charika,شركة,firm,
حالة,7ala,حالة,status,
حالة,hala,حالة,status,
سلام,salam,سلام,peace,
تنوّع,tanawwo3,تنوّع,variety,
تنوّع,tanawo3,تنوّع,variety,
أُستاد,ostad,أُستاذ,teacher,
أُستاد,stad,أُستاذ,teacher,
معلّم,mo3llim,معلّم,teacher,
معلّم,mo3allim,معلّم,teacher,
معلّم,mo3lim,معلّم,teacher,
معلّم,mo3alim,معلّم,teacher,
معلّم,moallim,معلّم,teacher,
معلّم,moalim,معلّم,teacher,
برنامج,barnamaj,برنامج,show,
ناطق,nati9,ناطق,speaker,
ناطق,natiq,ناطق,speaker,
تربية,trebia,تربية,baby,
تربية,tribia,تربية,baby,
تربية,trabia,تربية,baby,
تربية,tarbia,تربية,baby,
دراع,dra3,دراع,arm,
دراع,draa,دراع,arm,
قاعدة,9a3ida,قاعدة,base,
قاعدة,9aiida,قاعدة,base,
قاعدة,qa3ida,قاعدة,base,
أنسة,anisa,أنسة,miss,
أنسة,anissa,أنسة,miss,
أنسة,2anisa,أنسة,miss,
موشكيل,mochkil,مشكل,trouble,
ثقافة,ta9afa,ثقافة,culture,
ثقافة,taqafa,ثقافة,culture,
إتجاه,ittijah,إتجاه,direction,
إتجاه,ittija8,إتجاه,direction,
سياق,siya9,سياق,context,
شخصية,chakhsiya,شخصية,character,
شخصية,chkhsiya,شخصية,character,
شخصية,cha5siya,شخصية,character,
شخصية,ch5siya,شخصية,character,
حرف,7arf,حرف,character,
حرف,7rf,حرف,character,
حرف,harf,حرف,character,
حرف,hrf,حرف,character,
نقاش,ni9ach,نقاش,discussion,
نقاش,niqach,نقاش,discussion,
محادثة,mo7adata,محادثة,discussion,
محادثة,mohadata,محادثة,discussion,
محادثة,mo7adatha,محادثة,discussion,
محادثة,mohadatha,محادثة,discussion,
ماضي,madi,ماضي,past,
وزن,wazn,وزن,weight,
منظمة,monaddama,منظمة,organisation,
منظمة,monadama,منظمة,organisation,
منظمة,monaddama,منظمة,organisation,
أخ,akh,أخ,brother,
أخ,a5,أخ,brother,
دوري,dawri,دوري,league,
عصبة,3osba,دوري,league,
شرط,chart,شرط,condition,
ماكينة,makina,آلة,machine,
نقاش,ni9ach,نقاش,argument,
نقاش,niqach,نقاش,argument,
دليل,dalil,دليل,argument,
جنس,jins,جنس,sex,
ميزانية,mizania,ميزانية,budget,
انجليزية,nglizia,انجليزية,english,
اونجلي,anglais,انجليزية,english,
ترانسپور,transpor,نقل,transport,
قسم,9sem,مشاركة,share,
قسم,9sm,مشاركة,share,
قسم,qsem,مشاركة,share,
قسم,qsm,مشاركة,share,
والدة,walida,والدة,mum,
فلوس كاش,flous cash,نقداً,cash,
فلوس كاش,flous kash,نقداً,cash,
تبادل,tabadol,تبادل,exchange,
مساعدة,mosa3ada,مساعدة,aid,
مكتبة,mktaba,مكتبة,library,
مكتبة,maktaba,مكتبة,library,
نسخة,noskha,نسخة,version,
نسخة,nskha,نسخة,version,
نسخة,nos5a,نسخة,version,
نسخة,ns5a,نسخة,version,
قاعدة,9a3ida,قاعدة,rule,
قاعدة,qa3ida,قاعدة,rule,
أتاي,atay,شاي,tea,
توازن,tawazon,توازن,balance,
ميزان,mizan,ميزان,balance,
عشية,3chia,عشية,afternoon,
منطقة,mnta9a,منطقة,district,
منطقة,minta9a,منطقة,district,
منطقة,mntaqa,منطقة,district,
منطقة,mintaqa,منطقة,district,
دورة,dora,دورة,turn,
مهمة,mohimma,مهمة,duty,
مهمة,mo8imma,مهمة,duty,
مهمة,mohima,مهمة,duty,
مهمة,mo8ima,مهمة,duty,
استطلاع,stitla3,استطلاع,survey,
حضور,7odor,حضور,presence,
حضور,7odour,حضور,presence,
حضور,7odhor,حضور,presence,
حضور,7odhour,حضور,presence,
حضور,hodor,حضور,presence,
حضور,hodour,حضور,presence,
حضور,hodhor,حضور,presence,
حضور,hodhour,حضور,presence,
تأثير,t2tir,تأثير,influence,
تأثير,ta2tir,تأثير,influence,
تأثير,te2tir,تأثير,influence,
حجرة,7jra,حجرة,stone,
حجرة,7ajra,حجرة,stone,
حجرة,7ejra,حجرة,stone,
حجرة,hjra,حجرة,stone,
حجرة,hajra,حجرة,stone,
حجرة,hejra,حجرة,stone,
مجموعة,mejmo3a,مجموعة,collection,
مجموعة,majmo3a,مجموعة,collection,
مجموعة,mjmo3a,مجموعة,collection,
مدير,modir,مدير,executive,
خطاب,khitab,خطاب,speech,
خطاب,5itab,خطاب,speech,
وظيفة,wadifa,وظيفة,function,
ملكة,malika,ملكة,queen,
جواج,jwaj,زواج,marriage,
صطوك,stok,مخزون,stock,
فشل,fachal,فشل,failure,
تلميذ,tlmid,تلميذ,student,
تلميذ,tilmid,تلميذ,student,
طالب,talib,طالب,student,
مجهود,mjhoud,مجهود,effort,
مجهود,majhoud,مجهود,effort,
مجهود,mejhoud,مجهود,effort,
مجهود,mj8oud,مجهود,effort,
مجهود,maj8oud,مجهود,effort,
مجهود,mej8oud,مجهود,effort,
عطلة,3otla,عطلة,holiday,
كاريير,carriere,مسار مهني,career,
هجوم,hojom,هجوم,attack,
هجوم,8ojom,هجوم,attack,
هجوم,hojoum,هجوم,attack,
هجوم,8ojoum,هجوم,attack,
طول,tol,طول,length,طول
طول,toul,طول,length,
تقدم,ta9addom,تقدم,progress,
تقدم,ta9adom,تقدم,progress,
تقدم,taqaddom,تقدم,progress,
تقدم,taqadom,تقدم,progress,
نبتة,nbta,نبتة,plant,
نبتة,nabta,نبتة,plant,
نبتة,nebta,نبتة,plant,
علاقة,3ala9a,علاقة,relation,
علاقة,3alaqa,علاقة,relation,
كورة,kora,كورة,ball,
ذاكرة,dakira,ذاكرة,memory,
بار,bar,بار,bar,
ربع,rbe3,ربع,quarter,
ربع,rb3,ربع,quarter,
تأثير,t2tir,تأثير,impact,
راس,race,راس,race,
صورة,sora,صورة,image,
صورة,tswira,صورة,image,
صورة,taswira,صورة,image,
ثقة,ti9a,ثقة,trust,
